"date","close","volume","open","high","low"

"2016/07/29","16.6400","25980920.0000","16.3900","16.7400","16.2400"
"2016/07/28","16.3100","31421100.0000","15.8900","16.3400","15.8800"
"2016/07/27","15.7700","83048520.0000","16.3400","16.5900","15.6900"
"2016/07/26","18.4500","42891160.0000","18.5200","18.6500","18.1640"
"2016/07/25","18.6500","21407700.0000","18.4300","18.7000","18.1700"
"2016/07/22","18.3700","19614010.0000","18.1200","18.3893","17.7600"
"2016/07/21","18.3900","13922400.0000","18.5700","18.8000","18.3500"
"2016/07/20","18.5600","15020560.0000","18.5200","18.7600","18.4500"
"2016/07/19","18.3300","27264650.0000","18.5100","18.8950","18.2700"
"2016/07/18","18.6500","29697580.0000","18.2900","18.7500","18.0500"
"2016/07/15","18.0800","17361120.0000","17.9800","18.1800","17.8100"
"2016/07/14","17.9600","19546700.0000","18.0200","18.2800","17.9110"
"2016/07/13","17.7400","17913130.0000","18.2100","18.3200","17.5000"
"2016/07/12","18.1000","23773880.0000","17.9800","18.3800","17.9200"
"2016/07/11","17.7100","24027270.0000","17.5900","17.8800","17.5200"
"2016/07/08","18.0800","24845960.0000","17.5300","18.1649","17.4700"
"2016/07/07","17.3700","13438130.0000","17.2400","17.6750","17.2400"
"2016/07/06","17.2000","15656560.0000","17.0200","17.3400","16.8100"
"2016/07/05","17.1400","15699640.0000","17.2500","17.2800","16.7600"
"2016/07/01","17.2800","20712950.0000","16.9300","17.5000","16.9000"
"2016/06/30","16.9100","14096440.0000","16.8000","17.0000","16.7300"
"2016/06/29","16.8300","18206930.0000","16.6000","17.0100","16.4300"
"2016/06/28","16.4200","18660550.0000","16.2400","16.6400","16.1600"
"2016/06/27","15.8400","23505610.0000","16.2900","16.4000","15.4600"
"2016/06/24","16.4400","31502120.0000","16.2400","16.9000","16.2000"
"2016/06/23","17.0400","25181790.0000","16.3000","17.0700","16.2800"
"2016/06/22","16.1300","13719890.0000","16.2700","16.3200","16.0450"
"2016/06/21","16.3200","14997090.0000","16.4800","16.5600","16.1700"
"2016/06/20","16.3400","22836110.0000","16.3400","16.6400","16.1500"
"2016/06/17","16.1000","32207520.0000","16.1600","16.3689","15.9600"
"2016/06/16","15.8700","23597620.0000","15.9000","15.9500","15.4000"
"2016/06/15","15.9600","53448310.0000","15.7100","16.4400","15.7100"
"2016/06/14","15.3600","37268890.0000","14.8200","15.4200","14.8000"
"2016/06/13","14.5500","43037420.0000","14.6300","15.3000","14.5050"
"2016/06/10","14.0200","22059030.0000","14.4500","14.4500","14.0000"
"2016/06/09","14.6000","12350370.0000","14.8400","14.8595","14.5900"
"2016/06/08","14.9500","12955030.0000","15.0700","15.1200","14.8100"
"2016/06/07","15.0000","16483300.0000","15.3600","15.3700","14.9100"
"2016/06/06","15.2700","13753110.0000","15.2200","15.4500","15.1800"
"2016/06/03","15.2000","15484980.0000","15.1100","15.3489","14.9600"
"2016/06/02","15.2000","13177800.0000","15.0400","15.2600","14.8463"
"2016/06/01","15.0200","18238410.0000","15.1000","15.1700","14.6200"
"2016/05/31","15.2200","24287050.0000","15.1200","15.4900","15.0800"
"2016/05/27","15.1000","28335660.0000","14.2500","15.1000","14.2300"
"2016/05/26","14.3000","21101450.0000","14.4500","14.4800","14.1900"
"2016/05/25","14.4100","23175910.0000","14.0700","14.5700","14.0600"
"2016/05/24","14.0300","36203740.0000","14.2200","14.2200","13.7250"
"2016/05/23","14.4100","12896350.0000","14.4000","14.6000","14.3301"
"2016/05/20","14.4300","18485110.0000","14.2000","14.5100","14.1600"
"2016/05/19","14.1500","15876420.0000","14.1500","14.3050","14.0400"
"2016/05/18","14.1400","14256190.0000","14.3500","14.5700","14.0500"
"2016/05/17","14.3400","15571680.0000","14.2100","14.5900","14.1300"
"2016/05/16","14.2900","11561080.0000","14.0900","14.3700","14.0600"
"2016/05/13","14.1000","12696550.0000","14.0600","14.2800","14.0000"
"2016/05/12","14.0800","19828540.0000","14.6300","14.6800","14.0000"
"2016/05/11","14.5900","13777470.0000","14.6100","14.8600","14.4400"
"2016/05/10","14.6300","14578370.0000","14.1700","14.6900","14.1600"
"2016/05/09","14.2000","11448980.0000","14.2800","14.4700","14.1500"
"2016/05/06","14.4000","21194050.0000","14.1200","14.4000","13.9800"
"2016/05/05","14.1200","29058570.0000","14.9300","14.9800","14.0800"
"2016/05/04","14.8400","41644060.0000","13.9500","14.8780","13.9200"
"2016/05/03","14.0100","26012500.0000","14.2200","14.2500","13.9000"
"2016/05/02","14.4000","26115620.0000","14.7300","14.7700","14.1700"
"2016/04/29","14.6200","26859020.0000","14.7000","14.9300","14.3200"
"2016/04/28","14.6400","34738090.0000","14.8500","15.0900","14.6200"
"2016/04/27","14.8600","84705730.0000","15.1500","15.2800","14.8100"
"2016/04/26","17.7500","43206570.0000","17.2100","17.9800","17.0800"
"2016/04/25","17.0900","18962430.0000","17.2000","17.7500","16.8800"
"2016/04/22","17.2300","14848420.0000","17.3300","17.5100","17.0200"
"2016/04/21","17.5100","13584400.0000","17.4800","17.7700","17.4200"
"2016/04/20","17.4000","17737080.0000","16.9400","17.5200","16.9000"
"2016/04/19","16.9200","24776320.0000","17.3700","17.3900","16.6800"
"2016/04/18","17.3100","17271060.0000","17.7100","17.7200","17.0600"
"2016/04/15","17.5800","16344840.0000","17.5200","17.9100","17.3100"
"2016/04/14","17.5300","16206500.0000","17.3800","17.7000","17.1400"
"2016/04/13","17.3700","22629130.0000","16.6800","17.4000","16.6800"
"2016/04/12","16.5700","14924560.0000","16.5000","16.7700","16.1500"
"2016/04/11","16.5100","14175570.0000","16.7400","16.9800","16.4100"
"2016/04/08","16.6500","18671480.0000","17.1200","17.2500","16.4100"
"2016/04/07","16.9800","23293210.0000","16.8800","17.5900","16.8500"
"2016/04/06","17.2600","23107430.0000","17.1200","17.4800","16.9000"
"2016/04/05","17.0500","41582710.0000","17.5900","17.8300","16.8900"
"2016/04/04","17.0900","38173250.0000","16.0000","17.5403","15.9600"
"2016/04/01","15.9800","20973750.0000","16.4100","16.4300","15.8300"
"2016/03/31","16.5500","18871040.0000","16.4000","16.8400","16.2100"
"2016/03/30","16.3600","19356940.0000","16.1600","16.7200","16.0100"
"2016/03/29","15.9700","16967340.0000","15.6900","15.9900","15.3300"
"2016/03/28","15.6000","14119710.0000","15.9800","16.0050","15.4000"
"2016/03/24","15.9100","14870600.0000","15.9400","15.9880","15.5650"
"2016/03/23","16.0100","17952140.0000","16.8600","16.9100","16.0100"
"2016/03/22","16.8600","9556987.0000","16.7500","17.0100","16.7000"
"2016/03/21","16.8900","12550230.0000","16.8300","17.0500","16.6800"
"2016/03/18","16.8500","21150730.0000","17.0800","17.3800","16.7600"
"2016/03/17","16.8500","17041100.0000","16.6500","17.1470","16.6200"
"2016/03/16","16.7000","24746270.0000","16.3300","16.7700","16.1300"
"2016/03/15","16.1900","19641790.0000","17.0000","17.0400","16.1400"
"2016/03/14","17.1200","16514980.0000","16.8100","17.3200","16.7900"
"2016/03/11","16.8100","21481300.0000","16.7700","16.9400","16.4600"
"2016/03/10","16.6100","33165140.0000","17.6900","17.7719","16.3800"
"2016/03/09","17.6600","21536050.0000","18.6100","18.7400","17.5200"
"2016/03/08","18.3300","16378250.0000","19.1000","19.1500","18.3300"
"2016/03/07","19.1700","19720770.0000","19.1100","19.7300","18.7700"
"2016/03/04","19.3600","30083620.0000","19.4500","20.3200","19.0600"
"2016/03/03","19.3100","23226070.0000","18.5300","19.4400","18.4800"
"2016/03/02","18.5400","17193350.0000","17.8500","18.7400","17.7150"
"2016/03/01","17.8500","19313520.0000","18.4700","18.4800","17.5900"
"2016/02/29","18.1200","17380300.0000","17.9600","18.5700","17.7800"
"2016/02/26","17.9400","16335240.0000","17.7200","18.0300","17.4975"
"2016/02/25","17.5900","22349060.0000","17.9300","17.9500","17.3100"
"2016/02/24","18.0000","26664380.0000","18.0000","18.0900","17.1100"
"2016/02/23","18.3000","25747340.0000","18.5600","18.9600","18.1000"
"2016/02/22","18.3000","24985020.0000","18.6200","18.6750","17.7600"
"2016/02/19","18.3100","23990570.0000","18.1600","18.8800","17.7700"
"2016/02/18","18.4300","34519530.0000","18.1000","18.5500","17.5200"
"2016/02/17","17.4600","25659410.0000","16.4700","17.6000","16.4300"
"2016/02/16","16.3600","17264850.0000","16.0900","16.4000","15.6700"
"2016/02/12","15.8800","35602150.0000","14.5400","15.9400","14.5300"
"2016/02/11","14.3100","38568340.0000","14.0700","14.7900","13.9100"
"2016/02/10","14.9800","40222290.0000","14.5500","15.2800","14.5200"
"2016/02/09","14.4000","26768010.0000","14.6200","15.5450","14.3100"
"2016/02/08","14.9000","24917010.0000","15.5100","15.5500","14.7300"
